NM_001005484	OR4F5
NM_173605	KCNRG
ENST00000378180	DLEU1
NM_198989	DLEU7
NM_024570	RNASEH2B
NM_145019	FAM124A
NM_001101320	SERPINE3
NM_012141	INTS6
NM_052950	WDFY2
NM_001270424	DHRS12
NM_031290	CCDC70
NM_000053	ATP7B
NM_001004127	ALG11
NM_021645	UTP14C
NM_199289	NEK5
NM_002498	NEK3
NM_018676	THSD1
NM_016075	VPS36
NM_001098525	CKAP2
NM_001011724	HNRNPA1L2
NM_001130912	SUGT1
NM_007015	LECT1
NM_002590	PCDH8
NM_006418	OLFM4
NM_001130407	PRR20E
NM_001130406	PRR20D
NM_001130405	PRR20C
NM_001130404	PRR20B
NM_198441	PRR20A
NM_001040429	PCDH17
NM_001042517	DIAPH3
NM_001146070	TDRD3
NM_022843	PCDH20
ENST00000453638	AL445989.1
NM_203487	PCDH9
NM_020866	KLHL1
NM_080759	DACH1
NM_001071775	MZT1
NM_001286746	BORA
NM_014953	DIS3
NM_006346	PIBF1
NM_001730	KLF5
NM_007249	KLF12
ENST00000325811	AL355390.1
NM_014832	TBC1D4
NM_203497	COMMD6
NM_006002	UCHL3
NM_005358	LMO7
ENST00000318245	C13orf45
NM_001257995	LMO7DN
NM_138444	KCTD12
NM_001258406	IRG1
NM_006493	CLN5
NM_012158	FBXL3
NM_015057	MYCBP2
NM_144777	SCEL
NM_001242868	SLAIN1
NM_001201397	EDNRB
NM_006237	POU4F1
NM_024546	RNF219
NM_001286631	RBM26
NM_019080	NDFIP2
NM_005842	SPRY2
NM_001281503	SLITRK1
NM_032229	SLITRK6
NM_015567	SLITRK5
NM_004466	GPC5
NM_005708	GPC6
NM_001129889	DCT
NM_014305	TGDS
NM_180989	GPR180
NM_007084	SOX21
NM_005845	ABCC4
NM_006984	CLDN10
NM_198968	DZIP1
NM_006260	DNAJC3
NM_020121	UGGT2
NM_153456	HS6ST3
NM_080818	OXGR1
NM_144778	MBNL2
NM_021033	RAP2A
NM_002271	IPO5
NM_178861	RNF113B
NM_001286839	FARP1
NM_003576	STK24
NM_005073	SLC15A1
NM_015296	DOCK9
NM_001144072	UBAC2
NM_001098200	GPR18
NM_004951	GPR183
NM_004800	TM9SF2
NM_206808	CLYBL
NM_033132	ZIC5
NM_007129	ZIC2
NM_000282	PCCA
NM_033110	GGACT
NM_032813	TMTC4
NM_052867	NALCN
NM_004791	ITGBL1
NM_175929	FGF14
NM_003291	TPP2
NM_001010977	METTL21C
NM_001146197	CCDC168
NM_138779	TEX30
NM_024089	KDELC1
NM_017693	BIVM
NM_001204425	BIVM-ERCC5
NM_000123	ERCC5
NM_000452	SLC10A2
NM_172370	DAOA
NM_004093	EFNB2
NM_018011	ARGLU1
NM_001080396	FAM155A
NM_001098268	LIG4
NM_032859	ABHD13
NM_006573	TNFSF13B
NM_001198950	MYO16
NM_003749	IRS2
NM_001845	COL4A1
NM_001846	COL4A2
NM_017817	RAB20
NM_018210	CARKD
NM_024537	CARS2
NM_005537	ING1
ENST00000538077	LINC00346
NM_017664	ANKRD10
NM_001113511	ARHGEF7
NM_152324	TEX29
ENST00000375713	RP11-65D24.2
NM_005986	SOX1
NM_145248	SPACA7
NM_006322	TUBGCP3
NM_207440	ATP11AUN
ENST00000356049	C13orf35
NM_032189	ATP11A
NM_001112732	MCF2L
ENST00000593656	AL137002.1
NM_000131	F7
NM_000504	F10
NM_001256134	PROZ
NM_001258212	PCID2
NM_001008895	CUL4A
NM_005561	LAMP1
NM_024719	GRTP1
NM_138430	ADPRHL1
NM_001014283	DCUN1D2
NM_017905	TMCO3
NM_007111	TFDP1
NM_000705	ATP4B
NM_002929	GRK1
NM_182614	TMEM255B
NM_000820	GAS6
NM_001278674	LINC00452
NM_007368	RASA3
NM_003903	CDC16
NM_023011	UPF3A
NM_032436	CHAMP1
NM_001013354	OR11H12
NM_001005356	POTEG
NM_001145442	POTEM
NM_001197287	OR11H2
NM_172194	OR4Q3
NM_001005500	OR4M1
NM_001004723	OR4N2
NM_001005501	OR4K2
NM_001005483	OR4K5
NM_001004063	OR4K1
NM_001005486	OR4K15
NM_001004712	OR4K14
NM_001004714	OR4K13
NM_001004717	OR4L1
NM_001004715	OR4K17
NM_001004724	OR4N5
NM_001005503	OR11G2
NM_001004480	OR11H6
NM_001004479	OR11H4
NM_138376	TTC5
NM_021178	CCNB1IP1
NM_005484	PARP2
NM_007110	TEP1
NM_001109997	KLHL33
NM_017807	OSGEP
NM_001641	APEX1
NM_001100814	TMEM55B
NM_000270	PNP
NM_001012975	RNASE10
NM_001110360	RNASE9
NM_145250	RNASE11
NM_001024822	RNASE12
NM_001001968	OR6S1
NM_001145	ANG
ENST00000553909	AL163636.6
NM_001282193	RNASE4
NM_006683	EDDM3A
NM_022360	EDDM3B
NM_005615	RNASE6
NM_198232	RNASE1
NM_002935	RNASE3
NM_002934	RNASE2
NM_001029991	METTL17
NM_014579	SLC39A2
NM_201540	NDRG2
NM_173846	TPPP2
ENST00000531638	RP11-998D10.1
NM_001012264	RNASE13
NM_032572	RNASE7
NM_138331	RNASE8
NM_018071	ARHGEF40
NM_001102454	ZNF219
NM_001146683	TMEM253
NM_001004731	OR5AU1
NM_031314	HNRNPC
NM_020366	RPGRIP1
NM_007192	SUPT16H
NM_001170629	CHD8
NM_032846	RAB2B
NM_014828	TOX4
NM_019852	METTL3
NM_005407	SALL2
NM_001005465	OR10G3
ENST00000542354	TRAV1-1
NM_001005466	OR10G2
ENST00000390423	TRAV1-2
NM_001001912	OR4E2
ENST00000390424	TRAV2
ENST00000390425	TRAV3
ENST00000390426	TRAV4
ENST00000390427	TRAV5
ENST00000390428	TRAV6
ENST00000390429	TRAV7
ENST00000390430	TRAV8-1
ENST00000390431	TRAV9-1
ENST00000390432	TRAV10
ENST00000390433	TRAV12-1
ENST00000390434	TRAV8-2
ENST00000390435	TRAV8-3
ENST00000390436	TRAV13-1
ENST00000390437	TRAV12-2
ENST00000390438	TRAV8-4
ENST00000390439	TRAV13-2
ENST00000390440	TRAV14DV4
ENST00000390441	TRAV9-2
ENST00000390442	TRAV12-3
ENST00000390443	TRAV8-6
ENST00000390444	TRAV16
ENST00000390445	TRAV17
ENST00000390446	TRAV18
ENST00000390447	TRAV19
ENST00000390448	TRAV20
ENST00000390449	TRAV21
ENST00000390450	TRAV22
ENST00000390451	TRAV23DV6
ENST00000390452	TRDV1
ENST00000390453	TRAV24
ENST00000390454	TRAV25
ENST00000390455	TRAV26-1
ENST00000390456	TRAV8-7
ENST00000390457	TRAV27
ENST00000390458	TRAV29DV5
ENST00000557168	TRAV30
ENST00000390460	TRAV26-2
ENST00000390461	TRAV34
ENST00000390462	TRAV35
ENST00000390463	TRAV36DV7
ENST00000390464	TRAV38-1
ENST00000390465	TRAV38-2DV8
ENST00000390466	TRAV39
ENST00000390467	TRAV40
ENST00000390468	TRAV41
ENST00000390469	TRDV2
ENST00000415118	TRDD1
ENST00000434970	TRDD2
ENST00000448914	TRDD3
ENST00000390473	TRDJ1
ENST00000390474	TRDJ4
ENST00000390475	TRDJ2
ENST00000390476	TRDJ3
ENST00000390477	TRDC
ENST00000535880	TRDV3
ENST00000390479	TRAJ61
ENST00000390480	TRAJ59
ENST00000390481	TRAJ58
ENST00000390482	TRAJ57
ENST00000390483	TRAJ56
ENST00000390484	TRAJ54
ENST00000390485	TRAJ53
ENST00000390486	TRAJ52
ENST00000390487	TRAJ50
ENST00000390488	TRAJ49
ENST00000390489	TRAJ48
ENST00000390490	TRAJ47
ENST00000390491	TRAJ46
ENST00000390492	TRAJ45
ENST00000390493	TRAJ44
ENST00000390494	TRAJ43
ENST00000390495	TRAJ42
ENST00000390496	TRAJ41
ENST00000390497	TRAJ40
ENST00000390498	TRAJ39
ENST00000390499	TRAJ38
ENST00000390500	TRAJ37
ENST00000390501	TRAJ36
ENST00000390502	TRAJ35
ENST00000390503	TRAJ34
ENST00000390504	TRAJ33
ENST00000390505	TRAJ32
ENST00000390506	TRAJ31
ENST00000390507	TRAJ30
ENST00000390508	TRAJ29
ENST00000390509	TRAJ28
ENST00000390510	TRAJ27
ENST00000390511	TRAJ26
ENST00000390512	TRAJ25
ENST00000390513	TRAJ24
ENST00000390514	TRAJ23
ENST00000390515	TRAJ22
ENST00000390516	TRAJ21
ENST00000390517	TRAJ20
ENST00000390518	TRAJ19
ENST00000390519	TRAJ18
ENST00000390520	TRAJ17
ENST00000390521	TRAJ16
ENST00000390523	TRAJ14
ENST00000390524	TRAJ13
ENST00000390525	TRAJ12
ENST00000390526	TRAJ11
ENST00000390527	TRAJ10
ENST00000390528	TRAJ9
ENST00000390529	TRAJ8
ENST00000390530	TRAJ7
ENST00000390531	TRAJ6
ENST00000390532	TRAJ5
ENST00000390533	TRAJ4
ENST00000390534	TRAJ3
ENST00000390535	TRAJ2
ENST00000390536	TRAJ1
ENST00000478163	TRAC
ENST00000557595	AE000662.92
NM_001344	DAD1
NM_022060	ABHD4
ENST00000540461	OR6J1
NM_005015	OXA1L
NM_001126105	SLC7A7
ENST00000399979	AL135998.1
NM_178336	MRPL52
NM_004995	MMP14
NM_014045	LRP10
NM_173527	REM2
NM_001077351	RBM23
NM_006109	PRMT5
NM_017815	HAUS4
ENST00000555074	RP11-298I3.5
NM_032876	AJUBA
NM_001130706	C14orf93
NM_002797	PSMB5
NM_001099780	PSMB11
NM_022478	CDH24
NM_014977	ACIN1
NM_017924	C14orf119
NM_001805	CEBPE
NM_012244	SLC7A8
NM_001282322	C14orf164
NM_020834	HOMEZ
NM_001276318	PPP1R3E
NM_004050	BCL2L2
NM_001199864	BCL2L2-PABPN1
NM_004643	PABPN1
ENST00000594872	AL049829.1
NM_020372	SLC22A17
NM_005864	EFS
NM_022789	IL25
NM_001288746	CMTM5
NM_002471	MYH6
NM_000257	MYH7
NM_001042635	NGDN
NM_033400	ZFHX2
NM_001126339	THTPA
NM_003917	AP1G2
NM_001146028	JPH4
NM_182908	DHRS2
ENST00000354854	DHRS4-AS1
NM_021004	DHRS4
NM_198083	DHRS4L2
NM_001277864	DHRS4L1
NM_138360	LRRC16B
NM_001280558	CPNE6
NM_006177	NRL
NM_004563	PCK2
NM_025230	DCAF11
ENST00000558325	RP11-468E2.6
NM_203402	FITM1
NM_006263	PSME1
NM_016049	EMC9
NM_002818	PSME2
NM_017999	RNF31
ENST00000558468	RP11-468E2.4
NM_006084	IRF9
NM_001048205	REC8
NM_024658	IPO4
ENST00000561419	RP11-468E2.2
NM_006405	TM9SF1
NM_001184739	TSSK4
NM_014169	CHMP4A
NM_138476	MDP1
NM_001199823	NEDD8-MDP1
NM_006156	NEDD8
NM_001283022	GMPR2
NM_001099274	TINF2
NM_000359	TGM1
NM_004581	RABGGTA
NM_001136050	DHRS1
NM_174913	NOP9
NM_014430	CIDEB
NM_001164692	LTB4R2
NM_001143919	LTB4R
NM_001198568	ADCY4
ENST00000555591	RP11-934B9.3
NM_006871	RIPK3
NM_001136022	NFATC4
NM_025081	NYNRIN
NM_001039771	CBLN3
NM_001290256	KHNYN
NM_020195	SDR39U1
ENST00000555109	RP11-80A15.1
NM_001836	CMA1
NM_001911	CTSG
NM_033423	GZMH
NM_004131	GZMB
NM_014178	STXBP6
NM_002515	NOVA1
NM_005249	FOXG1
ENST00000399387	C14orf23
NM_002742	PRKD1
NM_017769	G2E3
NM_016106	SCFD1
NM_004086	COCH
NM_001083893	STRN3
NM_007077	AP4S1
NM_015382	HECTD1
NM_015473	HEATR5A
ENST00000547378	RP11-176H8.1
NM_080664	DTD2
NM_001197184	GPR33
NM_025152	NUBPL
ENST00000553330	RP11-187E13.1
ENST00000556949	RP11-187E13.2
NM_001030055	ARHGAP5
NM_004274	AKAP6
NM_001164749	NPAS3
NM_022073	EGLN3
NM_138288	SPTSSA
NM_018453	EAPP
NM_152233	SNX6
NM_138638	CFL2
NM_013448	BAZ1A
NM_003136	SRP54
NM_173607	FAM177A1
NM_017917	PPP2R3C
NM_014672	KIAA0391
NM_002791	PSMA6
NM_020529	NFKBIA
NM_032594	INSM2
NM_001283044	RALGAPA1
NM_032352	BRMS1L
NM_016586	MBIP
NM_001101341	SFTA3
NM_001079668	NKX2-1
NM_014360	NKX2-8
NM_006194	PAX9
NM_001171170	SLC25A21
ENST00000556667	SLC25A21-AS1
NM_138731	MIPOL1
NM_004496	FOXA1
ENST00000553443	TTC6
NM_001049	SSTR1
NM_175060	CLEC14A
NM_006364	SEC23A
NM_003616	GEMIN2
NM_001079537	TRAPPC6B
NM_002687	PNN
ENST00000553728	RP11-407N17.3
NM_054024	MIA2
NM_001247989	CTAGE5
NM_203301	FBXO33
NM_152447	LRFN5
NM_032135	FSCB
NM_001017923	C14orf28
NM_017658	KLHL28
NM_015091	FAM179B
NM_017922	PRPF39
NM_002013	FKBP3
NM_020937	FANCM
NM_018353	MIS18BP1
NM_080746	RPL10L
NM_001113498	MDGA2
NM_001030001	RPS29
ENST00000539688	AL139099.1
NM_152329	LRR1
NM_001001	RPL36AL
NM_002408	MGAT2
NM_018139	DNAAF2
NM_002692	POLE2
NM_172193	KLHDC1
NM_014315	KLHDC2
NM_004713	NEMF
ENST00000595378	AL627171.2
ENST00000358799	AL627171.1
NM_001663	ARF6
NM_001012706	C14orf182
NM_001014830	C14orf183
NM_024558	VCPKMT
NM_006939	SOS2
NM_024884	L2HGDH
NM_001003803	ATP5S
NM_004196	CDKL1
NM_198794	MAP4K5
NM_015915	ATL1
NM_021818	SAV1
NM_020921	NIN
NM_001206673	ABHD12B
NM_002863	PYGL
NM_015163	TRIM9
NM_030755	TMX1
NM_001267046	FRMD6
ENST00000556834	RP11-463J10.2
NM_053064	GNG2
ENST00000597846	AL358333.1
NM_016039	C14orf166
NM_007361	NID2
NM_000953	PTGDR
NM_000956	PTGER2
NM_020784	TXNDC16
NM_001099652	GPR137C
NM_014584	ERO1L
NM_002806	PSMC6
NM_001130701	STYX
NM_198066	GNPNAT1
NM_001134999	FERMT2
NM_001160148	DDHD1
NM_001202	BMP4
NM_005192	CDKN3
NM_005776	CNIH1
NM_004124	GMFB
NM_006568	CGRRF1
NM_015589	SAMD4A
NM_000161	GCH1
NM_007086	WDHD1
NM_199421	SOCS4
NM_144578	MAPK1IP1L
NM_002306	LGALS3
NM_001146015	DLGAP5
NM_017943	FBXO34
NM_014924	ATG14
NM_199047	TBPL2
NM_001079521	KTN1
NM_021255	PELI2
NM_017799	TMEM260
ENST00000554597	RP11-1085N6.3
NM_021728	OTX2
ENST00000391612	AL391152.1
NM_006544	EXOC5
NM_018229	AP5M1
NM_001011713	NAA30
NM_001283056	C14orf105
NM_001206920	SLC35F4
NM_001001872	C14orf37
NM_018477	ACTR10
NM_002788	PSMA3
ENST00000598233	AL132989.1
NM_002892	ARID4A
NM_207377	TOMM20L
NM_012460	TIMM9
NM_001244189	KIAA0586
NM_016651	DACT1
NM_014992	DAAM1
NM_022571	GPR135
NM_144581	L3HYPDH
NM_001284201	JKAMP
NM_001164399	CCDC175
NM_021136	RTN1
ENST00000445360	LRRC9
NM_022495	PCNXL4
NM_016029	DHRS7
NM_177952	PPM1A
NM_174978	C14orf39
NM_007374	SIX6
NM_005982	SIX1
NM_017420	SIX4
NM_002431	MNAT1
NM_020810	TRMT5
NM_001172702	SLC38A6
NM_001017970	TMEM30B
NM_006255	PRKCH
ENST00000556347	RP11-47I22.4
ENST00000229465	RP11-47I22.3
NM_001243084	HIF1A
NM_003082	SNAPC1
NM_031914	SYT16
NM_139318	KCNH5
NM_020663	RHOJ
NM_145171	GPHB5
NM_006246	PPP2R5E
NM_001008726	WDR89
NM_030791	SGPP1
NM_182914	SYNE2
NM_001437	ESR2
NM_005956	MTHFD1
NM_004857	AKAP5
NM_006977	ZBTB25
NM_001123329	ZBTB1
NM_021979	HSPA2
NM_172365	PPP1R36
NM_015549	PLEKHG3
NM_000347	SPTB
NM_145165	CHURC1
NM_001202559	CHURC1-FNTB
NM_002083	GPX2
NM_198686	RAB15
NM_002028	FNTB
NM_002382	MAX
NM_178155	FUT8
ENST00000554907	CTD-2014B16.3
NM_020806	GPHN
NM_173526	FAM71D
NM_022474	MPP5
NM_015994	ATP6V1D
NM_004094	EIF2S1
NM_016445	PLEK2
NM_182526	TMEM229B
NM_020715	PLEKHH1
NM_004569	PIGH
NM_001172	ARG2
NM_006370	VTI1B
ENST00000553306	RP11-1012A1.4
NM_016026	RDH11
NM_152443	RDH12
NM_015346	ZFYVE26
NM_133509	RAD51B
NM_001244701	ZFP36L1
NM_001130004	ACTN1
NM_003861	DCAF5
NM_001193361	EXD2
NM_020692	GALNT16
NM_004450	ERH
NM_018375	SLC39A9
NM_001161498	PLEKHD1
NM_001271507	CCDC177
NM_014734	KIAA0247
NM_006925	SRSF5
NM_003049	SLC10A1
NM_001034852	SMOC1
NM_183002	SLC8A3
NM_001202547	SYNJ2BP-COX16
NM_016468	COX16
NM_018373	SYNJ2BP
NM_003813	ADAM21
NM_003814	ADAM20
NM_001284211	MED6
NM_015351	TTC9
NM_033141	MAP3K9
NM_014982	PCNX
ENST00000594636	AC004817.1
NM_015556	SIPA1L1
NM_001204416	RGS6
ENST00000542853	AC005477.1
NM_001280544	DPF3
NM_015604	DCAF4
NM_021260	ZFYVE1
NM_021239	RBM25
NM_000021	PSEN1
NM_173462	PAPLN
NM_001005743	NUMB
NM_203309	HEATR4
NM_024644	C14orf169
NM_001037161	ACOT1
NM_006821	ACOT2
NM_152331	ACOT4
NM_001037162	ACOT6
NM_031427	DNAL1
NM_006029	PNMA1
NM_001043318	ELMSAN1
NM_152444	PTGR2
ENST00000556551	RP5-1021I20.4
NM_001242924	ZNF410
NM_152445	FAM161B
NM_182476	COQ6
NM_001249	ENTPD5
NM_025057	CCDC176
NM_005589	ALDH6A1
NM_001024674	LIN52
NM_182894	VSX2
NM_005050	ABCD4
NM_018228	VRTN
NM_001105579	SYNDIG1L
NM_006432	NPC2
NM_194279	ISCA2
NM_000428	LTBP2
NM_001039479	AREL1
ENST00000338772	AC007956.1
NM_015962	FCF1
NM_019589	YLPM1
NM_001243007	PROX2
NM_001933	DLST
NM_031464	RPS6KL1
NM_002632	PGF
NM_014239	EIF2B2
NM_001040108	MLH3
NM_001107	ACYP1
NM_024643	ZC2HC1C
NM_033116	NEK9
NM_006827	TMED10
ENST00000553510	RP11-293M10.1
NM_005252	FOS
NM_001135049	JDP2
NM_006399	BATF
NM_017791	FLVCR2
NM_007176	C14orf1
NM_015072	TTLL5
NM_003239	TGFB3
NM_052873	IFT43
NM_017926	GPATCH2L
NM_004452	ESRRB
NM_014909	VASH1
NM_015305	ANGEL1
NM_194287	LRRC74
ENST00000393774	C14orf166B
NM_024496	IRF2BPL
ENST00000557752	RP11-463C8.4
NM_033426	CIPC
NM_174976	ZDHHC22
ENST00000600936	AC007375.1
NM_020431	TMEM63C
NM_021257	NGB
NM_013382	POMT2
NM_145870	GSTZ1
NM_213601	TMED8
NM_001010860	SAMD15
NM_001113475	NOXRED1
ENST00000595520	FKSG61
NM_022067	VIPAS39
NM_012111	AHSA1
NM_199296	ISM2
NM_004863	SPTLC2
NM_006020	ALKBH1
NM_031210	SLIRP
NM_012245	SNW1
NM_174943	C14orf178
ENST00000596936	AC008372.1
NM_020421	ADCK1
NM_004796	NRXN3
NM_001007023	DIO2
NM_152446	CEP128
NM_000369	TSHR
NM_015859	GTF2A1
NM_001256430	STON2
NM_005065	SEL1L
ENST00000553678	RP11-497E19.2
NM_013231	FLRT2
ENST00000557527	RP11-322L20.1
NM_000153	GALC
NM_003608	GPR65
NM_138318	KCNK10
NM_018418	SPATA7
NM_007039	PTPN21
NM_024824	ZC3H14
NM_183387	EML5
NM_144596	TTC8
NM_001085471	FOXN3
ENST00000550332	RP11-944C7.1
NM_145231	EFCAB11
NM_018319	TDP1
NM_022054	KCNK13
NM_002802	PSMC1
NM_017970	NRDE2
NM_006888	CALM1
NM_001010854	TTC7B
NM_004755	RPS6KA5
NM_001102368	C14orf159
NM_003485	GPR68
ENST00000554096	CTD-2547L24.3
NM_001080414	CCDC88C
NM_001284280	SMEK1
ENST00000596306	AL133373.1
NM_024764	CATSPERB
NM_001128595	TC2N
NM_006329	FBLN5
NM_004239	TRIP11
NM_004993	ATXN3
NM_004545	NDUFB1
NM_017437	CPSF2
NM_153646	SLC24A4
NM_024832	RIN3
NM_005606	LGMN
NM_005113	GOLGA5
NM_001275	CHGA
NM_014216	ITPK1
NM_022151	MOAP1
NM_001098621	TMEM251
ENST00000557574	RP11-371E8.4
NM_032490	C14orf142
NM_175748	UBR7
NM_001002860	BTBD7
NM_182971	COX8C
NM_020818	UNC79
NM_178013	PRIMA1
NM_138344	FAM181A
NM_001202429	ASB2
ENST00000557646	RP11-131H24.4
NM_023112	OTUB2
NM_020414	DDX24
NM_145249	IFI27L1
NM_001288995	IFI27
NM_032036	IFI27L2
NM_058237	PPP4R4
NM_016186	SERPINA10
NM_001756	SERPINA6
NM_006220	SERPINA2
NM_000295	SERPINA1
NM_001080451	SERPINA11
NM_175739	SERPINA9
NM_173850	SERPINA12
NM_001289032	SERPINA4
NM_000624	SERPINA5
ENST00000553947	RP11-986E7.7
NM_001085	SERPINA3
NM_173849	GSC
NM_177438	DICER1
NM_024734	CLMN
NM_152592	SYNE3
ENST00000554161	RP11-1070N10.3
NM_016417	GLRX5
NM_004918	TCL1B
NM_001098725	TCL1A
NM_001289139	C14orf132
ENST00000553811	RP11-404P21.8
NM_000623	BDKRB2
NM_000710	BDKRB1
ENST00000554299	DKFZP434O1614
NM_018036	ATG2B
NM_016472	GSKIP
NM_152327	AK7
NM_032632	PAPOLA
NM_003384	VRK1
ENST00000557296	RP11-204N11.1
ENST00000499006	C14orf64
NM_182560	C14orf177
NM_138576	BCL11B
NM_032233	SETD3
NM_001099402	CCNK
NM_001144995	CCDC85C
NM_001127258	HHIPL1
NM_006668	CYP46A1
NM_001008707	EML1
NM_016337	EVL
NM_206918	DEGS2
NM_003403	YY1
NM_001039355	SLC25A29
NM_207117	SLC25A47
NM_004184	WARS
NM_001161476	WDR25
NM_001159531	BEGAIN
NM_003836	DLK1
ENST00000596284	AL117190.2
NM_001134888	RTL1
ENST00000599197	AL117190.3
NM_001362	DIO3
ENST00000556973	RP11-796G6.2
NM_001161725	PPP2R5C
NM_001376	DYNC1H1
NM_001017963	HSP90AA1
NM_001242417	WDR20
NM_014226	MOK
NM_018335	ZNF839
NM_032630	CINP
NM_014844	TECPR2
NM_152326	ANKRD9
NM_015156	RCOR1
NM_145725	TRAF3
NM_030943	AMN
NM_006035	CDC42BPB
NM_001077594	EXOC3L4
NM_006291	TNFAIP2
NM_183004	EIF5
NM_001128918	MARK3
NM_001823	CKB
NM_152307	TRMT61A
NM_001015049	BAG5
ENST00000472726	RP11-73M18.2
NM_032374	APOPT1
NM_001130107	KLC1
NM_001100118	XRCC3
ENST00000429169	AL049840.1
NM_001198953	ZFYVE21
NM_015316	PPP1R13B
NM_001127393	C14orf2
NM_153046	TDRD9
NM_001257268	RD3L
NM_001080464	ASPG
NM_015656	KIF26A
ENST00000419115	C14orf144
NM_001286399	C14orf180
NM_001286389	TMEM179
NM_022489	INF2
NM_199165	ADSSL1
NM_006427	SIVA1
NM_005163	AKT1
NM_001137601	ZBTB42
NM_001112726	CEP170B
NM_138790	PLD4
NM_138420	AHNAK2
NM_174891	C14orf79
NM_017955	CDCA4
NM_001278694	GPR132
NM_002226	JAG2
NM_177533	NUDT14
NM_001519	BRF1
NM_033271	BTBD6
NM_001100913	PACS2
NM_001195082	TEX22
NM_004689	MTA1
NM_001270837	CRIP2
NM_001311	CRIP1
NM_001134875	C14orf80
NM_025268	TMEM121
ENST00000390539	IGHA2
ENST00000390541	IGHE
ENST00000390543	IGHG4
ENST00000390545	IGHG2
ENST00000390547	IGHA1
ENST00000390548	IGHG1
ENST00000390551	IGHG3
ENST00000390556	IGHD
ENST00000390559	IGHM
ENST00000390560	IGHJ6
ENST00000488476	IGHJ5
ENST00000461719	IGHJ4
ENST00000463911	IGHJ3
ENST00000390564	IGHJ2
ENST00000390565	IGHJ1
ENST00000439842	IGHD7-27
ENST00000390567	IGHD1-26
ENST00000452198	IGHD6-25
ENST00000390569	IGHD5-24
ENST00000437320	IGHD4-23
ENST00000390571	IGHD3-22
ENST00000390572	IGHD2-21
ENST00000450276	IGHD1-20
ENST00000390574	IGHD6-19
ENST00000390575	IGHD5-18
ENST00000431870	IGHD4-17
ENST00000390577	IGHD3-16
ENST00000390578	IGHD2-15
ENST00000451044	IGHD1-14
ENST00000390580	IGHD6-13
ENST00000390581	IGHD5-12
ENST00000431440	IGHD4-11
ENST00000390583	IGHD3-10
ENST00000390584	IGHD3-9
ENST00000390585	IGHD2-8
ENST00000430425	IGHD1-7
ENST00000454691	IGHD6-6
ENST00000390588	IGHD5-5
ENST00000414852	IGHD4-4
ENST00000390590	IGHD3-3
ENST00000390591	IGHD2-2
ENST00000454908	IGHD1-1
ENST00000429431	KIAA0125
ENST00000390593	IGHV6-1
ENST00000390594	IGHV1-2
ENST00000390595	IGHV1-3
ENST00000390596	IGHV4-4
ENST00000390597	IGHV2-5
ENST00000390598	IGHV3-7
ENST00000390599	IGHV1-8
ENST00000390600	IGHV3-9
ENST00000390601	IGHV3-11
ENST00000390602	IGHV3-13
ENST00000390603	IGHV3-15
ENST00000390604	IGHV3-16
ENST00000390605	IGHV1-18
ENST00000390606	IGHV3-20
ENST00000390607	IGHV3-21
ENST00000390609	IGHV3-23
ENST00000390610	IGHV1-24
ENST00000390611	IGHV2-26
ENST00000390612	IGHV4-28
ENST00000390613	IGHV3-30
ENST00000438142	IGHV4-31
ENST00000390615	IGHV3-33
ENST00000390616	IGHV4-34
ENST00000390617	IGHV3-35
ENST00000390618	IGHV3-38
ENST00000390619	IGHV4-39
ENST00000434710	IGHV3-43
ENST00000390621	IGHV1-45
ENST00000390622	IGHV1-46
ENST00000390624	IGHV3-48
ENST00000390625	IGHV3-49
ENST00000390626	IGHV5-51
ENST00000390627	IGHV3-53
ENST00000390628	IGHV1-58
ENST00000455737	IGHV4-59
ENST00000390630	IGHV4-61
ENST00000454421	IGHV3-64
ENST00000390632	IGHV3-66
ENST00000390633	IGHV1-69
ENST00000390634	IGHV2-70
ENST00000433072	IGHV3-72
ENST00000390636	IGHV3-73
ENST00000424969	IGHV3-74
ENST00000390639	IGHV7-81
ENST00000338912	IGHV1OR15-9
ENST00000558565	IGHV3OR15-7
ENST00000604642	IGHD5OR15-5A
ENST00000603326	IGHD4OR15-4A
ENST00000604950	IGHD3OR15-3A
ENST00000603077	IGHD2OR15-2A
ENST00000605284	IGHD1OR15-1A
NM_001145004	GOLGA6L6
ENST00000595502	AC012414.1
NM_207355	LOC102724631
NM_001277304	POTEB
NM_001277303	POTEB2
ENST00000604446	IGHD5OR15-5B
ENST00000603693	IGHD4OR15-4B
ENST00000603935	IGHD3OR15-3B
ENST00000604102	IGHD2OR15-2B
ENST00000604838	IGHD1OR15-1B
ENST00000594169	DKFZP547L112
NM_001004719	OR4M2
NM_001005241	OR4N4
ENST00000604066	IGHV1OR15-1
ENST00000599120	AC010760.1
ENST00000557788	IGHV4OR15-8
NM_001001413	GOLGA6L1
NM_001271664	GOLGA6L22
NM_052903	TUBGCP5
NM_001287810	CYFIP1
NM_001008860	NIPA2
NM_144599	NIPA1
ENST00000450802	GOLGA8I
ENST00000558241	RP11-467N20.5
ENST00000562295	GOLGA8S
ENST00000567107	GOLGA6L2
NM_005664	MKRN3
NM_019066	MAGEL2
NM_002487	NDN
NM_018958	NPAP1
NM_022804	SNURF
NM_022808	SNRPN
NM_000462	UBE3A
NM_024490	ATP10A
NM_000814	GABRB3
NM_000810	GABRA5
NM_033223	GABRG3
NM_000275	OCA2
NM_004667	HERC2
